'a'wei'si'man'qin 阿维四螨嗪
'sheng'ming'li 生命力
'lin'jian'fang'mu 林间放牧
'zhi'ma 芝麻
'duan'nai'wo'zhong 断奶窝重
'yuan'shi 院士
'fa'zheng'jian'cha'yuan 发证检查员
'jia're 加热
'bo'miao 钵苗
'jiao'xiao 角枭
'ji'ji'zuo'hao 积极做好
'xuan'ze'qi 选择器
'wai'mo 外膜
'jiang'xi'sheng'yu'du'xian'luo'ao'wen'xiang'fu'li'chang 江西省于都县罗坳蚊香福利厂
'yi'chu 逸出
'jie'he'ran'se'ti 接合染色体
'jun'yun'fen'bu 均匀分布
'tian'jian'qu'za 田间去杂
'you'liang'pin'zhong 优良品种
'jie'shang'li'he'qi 接上离合器
'di'mai'wei 地麦威
'chuan'kong'jian 穿孔茧
'ke'shi'guang'neng'liang 可视光能量
'hong'zhi'zhu 红蜘蛛
'yang'li'zi'jiao'huan 阳离子交换
'gan'wu'zhi 干物质
'bu'chang'dian 补偿点
'mo'pian 默片
'bei'ye 倍液
'pang'ting'sheng 旁听生
'lu'xi'xian 泸西县
'yu'jin'xiang 郁金香
'ke'xue'shi'yong'ji'shu 科学实用技术
'gui'mo'xiao 规模小
'wu'han'jin'ke'sheng'wu'ji'shu'you'xian'gong'si 武汉金科生物技术有限公司
'chu'xian'lin 除线磷
'xia'yi'ren 虾夷人
'jia'qing'lin 贾庆林
'dai'tiao'tian 带条田
'fu'shi'pin'chang 副食品厂
'you'cai'hua 油菜花
'cheng'shi'shou'xin 诚实守信
'mian'bao'guo 面包果
'pin'pai'nong'ye 品牌农业
'guo'huai 国槐
'liang'yin'zi'shi'yan'she'ji 两因子试验设计
'jie'cao'an 解草安
'mu'ma 母马
'ping'liu'shuang'dong 平流霜冻
'sai'ou'mu 赛欧姆
'mu'hui 木灰
'lin'jie'wen'du 临界温度
'mie'jun 灭菌
'pin'zhong'tui'hua 品种退化
'ye'bei 叶背
'meng'xin'ben'shuang'ling 锰锌苯霜灵
'sang'fen'shi 桑粉虱
'shi'yao 施药
'duo'ci'rui'tu'bian'ti 多雌蕊突变体
'pang'ji'feng 庞继锋
'e'cao'ling 噁草灵
'tian'cai'hua'ye'bing'du'bing 甜菜花叶病毒病
'jie'kang'wu 拮抗物
'xue'fen 血粉
'jia'mi'ju'zhi 甲醚菊酯
'zhi'fa'wei'fa'xian'xiang 执法违法现象
'shan'dong'shou'guang'shuang'xing'nong'yao'you'xian'gong'si 山东寿光双星农药有限公司
'shui'ping'kang'xing 水平抗性
'zhi'jian 植检
'zhang'shui 涨水
'zhu'cang'zu'zhi 贮藏组织
'hui'he'dian 汇合点
'gao'chan'you'zhi'pin'zhong 高产优质品种
'dou'de'li 豆得利
'he'cheng'kong'jing'lei'da 合成孔径雷达
'kang'ku'ning 抗枯宁
'shui'ping'yi 水平仪
'xiang'zhang 香樟
'yi'wan'cheng 已完成
'wei'suan 胃酸
'jie'chu 解除
'ding'liang'de 定量的
'di'li'tuo 敌力脱
'san'yin'zi'shi'yan'she'ji 三因子试验设计
'shui'rong'ye 水溶液
'fang'xiao 仿效
'cha'chi'huo'he'xing'duo'jiao'ti'bing'du 茶尺蠖核型多角体病毒
'yi'mai 宜麦
'ju'jiao'zhuang'de 聚缴状的
'bao'wei'fan'ying 保卫反应
'jin'zhan'qing'kuang 进展情况
'xia'shou'zuo'wu 夏收作物
'wei'xin'xian 威信县
'wan'quan'zhi'si 完全致死
'xian'dai'nong'ye'fa'zhan'ti'xi 现代农业发展体系
'tu'rang'zhen'duan 土壤诊断
'nu'jiang'li'su'zu'zi'zhi'zhou 怒江傈僳族自治州
'tu'si'su'du 吐丝速度
'kuan'zhai'xing 宽窄行
'hei'zu'hei'shou'gua 黑足黑守瓜
'fang'shan'beng 防山崩
'hua'fen'bu'fen'bu'yu 花粉部分不育
'xiao'man'fen 消螨粉
'huang'jian'ai 黄坚爱
'you'lin'de 有鳞的
'ben'xia'qu'nei 本辖区内
'pu'shi'ling 扑虱灵
'zheng'qi'xiao'du 蒸汽消毒
'shu'zu 数组
'pi'fu'hu'xi 皮肤呼吸
'yun'xing'ping'wen 运行平稳
'xuan'ze'qiang'du 选择强度
'shou'jing'lv 受精率
'fu'jian'san'nong'ji'tuan'gu'fen'you'xian'gong'si 福建三农集团股份有限公司
'ban'gong'shi'ren'yuan 办公室人员
'mie'jun'lin 灭菌磷
'tang'liao'zhe'chan'ye 糖料蔗产业
'ju'hui'hua'de 具灰花的
'xiao'tuo'ye 小托叶
'guo'jia'gong'huo'he'tong'wan'cheng'lv 国家供货合同完成率
'guang'xi'shang'si'xian'nong'yao'chang 广西上思县农药厂
'jie'tian'geng'zuo 阶田耕作
'san'cai'mie 三菜灭
'nong'ye'qi'hou'zhi'biao 农业气候指标
'jing'ji'zuo'wu'ji'shu'tui'guang'zhan 经济作物技术推广站
'tuo'zhan 拓展
'cheng'liang 称量
'qiao'zi 荞子
'niu'du'she 牛犊舍
'jiao'cha'jia 交叉价
'quan'she'hui'ling'shou'jia'ge'zhi'shu 全社会零售价格指数
'zhong'fei'li 中肥力
'he'ying'jiao 何英交
'cai'qu'duo'zhong'dai'dong'xing'shi 采取多种带动形式
'quan'jing 全景
'xian'nong'ye'ji'shu'tui'guang'zhan 县农业技术推广站
'shan'dou'zi 山豆子
'jing'ben'zuo 腈苯唑
'fu'li'song 福利松
'gu'ti'shui 固体水
'gao'liang'zhou'e 高粱舟娥
'jian'yang'mao 剪羊毛
'dan'wei'chan'pin'zong'he'neng'hao 单位产品综合能耗
'nuo'gao'liang 糯高粱
'gao'lv'sha'chong'dan 高氯杀虫单
'nong'tian'jian'she 农田建设
'lv'ji 律己
'dao'e'miao'bing 稻恶苗病
'shan'dong'nuo'hua'nong'yao'you'xian'gong'si 山东诺华农药有限公司
'xiang'wan'dou'jun'he'bing 香豌豆菌核病
'guang'xi'guang'feng'yao'fei'chang 广西广丰药肥厂
'an'ji'zhuan'yi'mei 氨基转移酶
'ye'huang'su 叶黄素
'cu'sha 粗砂
'nong'ye'wen'ti 农业问题
'zhou'ji'wen 昼积温
'yi'yuan'liu'bei'ti 异源六倍体
'can'liu'wu 残留物
'jia'chu'yong'xiao'che 家畜用小车
'kai'hua'shou'jing'de 开花受精的
'dan'bai'zhi'wu 蛋白植物
'guan'shui'fa 灌水法
'shou'yi'fa'gui 兽医法规
'guo'du'yang'hua'ceng 过渡氧化层
'xian'shui'guo'ban 县水果办
'he'rong'he 核融合
'xi'wei 吸胃
'zhuan'yu 转育
'yuan'zhui'hua'xu 圆锥花序
'ke'su'tu 可塑土
'dun'shou 趸售
'ji'shi'gong'zi 计时工资
'yang'fen'fen'jie'xi'shui 养分分解吸水
'ji'sheng'guan'xi 寄生关系
'zi'wai'xian'fu'zhao 紫外线辐照
'leng'wen'qun'ti 冷温群体
'ceng'ji'chu'li 层积处理
'lian'bei 莲北
'qu'wen'chun 驱蚊醇
'zhuan'jia'wei'yuan'hui 专家委员会
'jiang'su'sheng'guo'ying'kun'shan'sheng'wu'hua'xue'chang 江苏省国营昆山生物化学厂
'zhu'zhuang'shang'pi 柱状上皮
'zhi'wu'bao'hu 植物保护
'yi'yu 已于
'nong'chan'pin'shi'chang 农产品市场
'guang'he'se'su 光合色素
'xi'sha 细砂
'xian'yan'gai'lv 先验概率
'tu'rang'fen'lei 土壤分类
'nong'yong'tuo'che 农用拖车
'yu're'qi 预热器
'ning'meng'suan'tong 柠檬酸铜
'ke'dong'hua 可动化
'niu'xiong'bu'si'chong'bing 牛胸部丝虫病
'xi'bao'zhi 细胞质
'fu'lan'lv 腐烂率
'liu'wu'san'zuo'tong 柳戊三唑酮
'cao'da'jin 草达津
'fa'bu 发布
'guo'gan 果干
'huo'jia'qi'yan'chang 货架期延长
'zhi'si'ji'liang 致死剂量
'qi'guan'pei'yang 器官培养
'ren'kou'yan'jiu 人口研究
'qu'chu'xing 趋触性
'sheng'wu'jie'lv 生物节律
'tuo'ye'xian 唾液腺
'bi'ma'hai'chong 蓖麻害虫
'jiang'su'hui'feng'nong'hua'gu'fen'you'xian'gong'si 江苏辉丰农化股份有限公司
'ben'zhi'xi 苯之烯
'cheng'fen 成分
'du'you'ding 毒莠定
'ya'shen'suan 亚砷酸
'zheng'gui'mi'du'qu'xian 正规密度曲线
'yu'mi'xi'jun'xing'tiao'ban'bing 玉米细菌性条斑病
'yi'gai'shan 以改善
'ji'fa'gan'ran 继发感染
'wang'miao 旺苗
'kang'ya'yi'bing'wei 抗蚜异丙威
'guan'shui'ding'liang 灌水定量
'dai'huan 代换
'sheng'ming'an'quan 生命安全
'he'zao'lei 褐藻类
'fa'hui'dang'yuan'de'xian'feng'mo'fan'zuo'yong 发挥党员的先锋模范作用
'kong'shui 控水
'an'hui'sheng'qing'feng'nong'hua'you'xian'ze'ren'gong'si 安徽省庆丰农化有限责任公司
'jing'mi'shi'yan 精密试验
'ban'zai 板栽
'mi'wu'ji 弥雾机
'hui'he'yu'e 灰褐羽蛾
'ma'lei'zuo'wu 麻类作物
'zhi'zhi 脂质
'xiao'yu'pian 小羽片
'tu'rang'xi'tong 土壤系统
'da'xue'sheng 大学生
'quan'xian'zhu'yao'nong'zuo'wu 全县主要农作物
'fu'chong'long 伏虫隆
'luo'guo 落果
'sheng'wu'xi'bing'ju'zhi 生物烯丙菊酯
'bai'yi 白蚁
'sheng'zhen'zi 生榛子
'yu'mi'xin'pin'zhong 玉米新品种
'wu'hai'hua 无害化
'you'xuan'xi'bing'ju'zhi 右旋烯丙菊酯
'bao'shu 包数
'li'fei 粒肥
'bai'e'la'chan 白蛾蜡蝉
'ying'ji'yan'lian 应急演练
'qi'fu'ju'zhi 七氟菊酯
'shang'pei'ceng 上胚层
'ji'chu'si'liao 基础饲料
'shi'nei'guan'hua'zhi'wu 室内观花植物
'leng'dong'ji 冷冻剂
'yi'xi'bao 异细胞
'ji'zhu 寄主
'wu'du'e 舞毒蛾
'shou'fu'shi'tuo'la'ji 手扶式拖拉机
'he'kou'xian 河口县
'zeng'qiang 增强
'lian'ben'san'zuo'chun 联苯三唑醇
'an'yang'hua'mei 胺氧化酶
'cha'bing'bing 茶饼病
'kui'liu'xin'liu'lin 喹硫辛硫磷
'ding'duan'you'shi 顶端优势
'he'tie'kuang 褐铁矿
'ai'gan'xing'zheng'zhi 矮干形整枝
'shi'song'lei 石松类
'fan'wei 范围
'she'wen'yan'tu 蛇纹岩土
'bo'liang 播量
'zhong'zi'bi'zhong 种子比重
'he'an'di'bao'hu 河岸地保护
'ji'liang 剂量
'guang'xi'he'zhou'ba'bu'qu'he'jie'jin'long'wen'xiang'chang 广西贺州八步区贺街金龙蚊香厂
'zhao'ze'di'li 沼泽地犁
'shi'rui 石蕊
'mu'zhi'gen'de 木质根的
'gai'lv'wu'cha 概率误差
'jiao'tong'yun'shu'bu 交通运输部
'xue'xiao'gong'you 学校工友
'song'guo 松果
'xia'bo 夏播
'dang'jian'mu'biao'guan'li'zhi'du 党建目标管理制度
'guo'jie'lou 过街楼
'guo'ni 果泥
'liang'tang 两塘
'fan'zhi'qu 繁殖区
'ye'hen 叶痕
'lian'zhou'mian'cun 廉州免村
'yuan'yuan'zhong 原原种
'gan'lan'hei'ban'bing 甘蓝黑斑病
'bu'yu'xi 不育系
'sang'tian'niu 桑天牛
'lv'ben'wo'zuo'jian'yi 氯苯肟唑建议
'jiang'su'long'li'qi'ji'tuan'you'xian'gong'si 江苏隆力奇集团有限公司
'que'tang 缺塘
'leng'chuang'wen'du 冷床温度
'dun'liang'tian 吨粮田
'shan'dong'sheng'yan'tai'ke'da'hua'gong'you'xian'gong'si 山东省烟台科达化工有限公司
'qiao'dou 壳斗
'jia'ji'huan'bing'xi 甲基环丙烯
'geng'zuo'zhi'du 耕作制度
'da'man'ling 哒螨灵
'ding'ji'zhi'shu'he'huan'bi'zhi'shu 定基指数和环比指数
'li'shu'qin 李淑琴
'jian'niu 犍牛
'dong'tu 冻土
'tong'zhong'yi'zhi 同种移植
'jiang'xi'ba'fei'te'hua'gong'you'xian'gong'si 江西巴菲特化工有限公司
'xia'ji'de 夏季的
'an'ji'qing'tai'dan 氨基氰态氮
'jian'chi'cheng'shu'yi'ren'fa'zhan'yi'ren'de'fang'zhen 坚持成熟一人发展一人的方针
'luo'kou'deng'pao 罗口灯泡
'hui'gui 回归
'shuang'fu'huang'cao'an 双氟磺草胺
'bi'fa'zhan 比发展
'gan'jue'que'shi 感觉缺失
'gan'wei 干喂
'fei'nong'chan'ye 非农产业
'cai'yong 采用
'xi'bao'ti 细胞体
'tiao'zheng'you'hua 调整优化
'zong'sui'shu 总穗数
'bei'jian 备件
'bao'jia 报价
'guan'shi'pai'shui'gou 管式排水沟
'lu'di'zai'pei 露地栽培
'he'shui'qi'shui'wei 涸水期水位
'xiang'ya'se 象牙色
'xiang'feng'wen'ming 乡风文明
'jiao'tong'ju 交通局
'cheng'tu'mu'yan 成土母岩
'fu'jian'nan'an'hua'long'ri'yong'pin'you'xian'gong'si 福建南安华龙日用品有限公司
'fu'lv'qing'le'guo 氟氯氰乐果
'shi'guan 试管
'mei'zhou'li 美洲李
'yan'cao'zhu'jing'e 烟草蛀茎蛾
'she'ying'xie'hui 摄影协会
'fu'shui 腹水
'tu'rang'shui'fen'bao'chi 土壤水分保持
'bei'fang'tan'ju'bing 北方炭疽病
'jia'ting'nong'chang 家庭农场
'liu'lan 浏览
'nian'chong 粘虫
'si'man'ben'ding'xi 四螨苯丁锡
'zhong'xue 终雪
'zhi'wu'lie'bing 植物列病
'gong'xian 贡献
'wa'gen'chu 挖根锄
'tian'cai'ye'ban'bing 甜菜叶斑病
'qing'dao'zhong'da'nong'ye'ke'ji'you'xian'gong'si 青岛中达农业科技有限公司
'tian'cai'shou'ji'zhuang'zai'ji 甜菜收集装载机
'bai'yu'hua'fen 败育花粉
'he'bei'sheng'nong'yao'hua'gong'you'xian'gong'si 河北省农药化工有限公司
'ou'bei'ti 偶倍体
'shui'ping 水平
'nong'cun'zhu'hu'diao'cha 农村住户调查
'you'xiao'zhi'wu 幼小植物
'chun'xi'yu'zhong 纯系育种
'chun'lei'liu'huang 春雷硫磺
'xia'you'qu 下游区
'bing'xi'suan 丙烯酸
'zhao'du 照度
'dui'zhao 对照
'sang'bai'mao'chong 桑白毛虫
'zhuan'yi'jiu'ye'lv'da 转移就业率达
'jin'shu'guan 金属罐
'hun'lu 混录
'hao'hua'qiao'che 豪华桥车
'ge'xiang'zhen 个乡镇
'fan'xiang'nong'min'gong 返乡农民工
'xian'xing'bi 显性比
'mian'yi'liao'fa 免疫疗法
'ka'ta'pu 卡塔普
'ye'sheng'mai 野生麦
'hui'mei 灰霉
'yi'yang'long 乙氧隆
'e'cao'ding'cao'an 噁草丁草胺
'guo'yuan'tu'rang 果园土壤
'jiao'fang'hua'xu'shi'de 缴房花序式的
'ci'zhu 雌株
'wu'tou'suan'mei 乌头酸酶
'an'quan'jian'ce 安全检测
'feng'hua'qiao 风化壳
'bi'shi 壁虱
'tu'bei'zhe'gui 突背蔗龟
'lv'fei'ya'qing'qing'kuang 绿肥压青情况
'yan'jian'yan 眼睑炎
'mo'shi 模式
'xing'tai'sheng'li'de'ji'chu 形态生理的基础
'di'you'ding'cao'an 滴莠丁草胺
'dou'ke'si'liao 豆科饲料
'xi'meng 西盟
'er'biao 耳标
'zhai'wu'ren 债务人
'zeng'xiao'zhi 增效酯
'yan'ge 阉割
'dan'zhou 单轴
'leng'ya 冷压
'gai'lan'cai 芥蓝菜
'tu'di'li'yong'lv 土地利用率
'xi'shou'li 吸收力
'wai'gua'ban 外挂版
'he'pu'te'se 合浦特色
'zhe'yu 这与
'yuan'ze 原则
'yu'mao'shi 羽毛虱
'dan'wei'gong'cheng'you'liang'pin'lv 单位工程优良品率
'di'er'xing'zheng 第二性征
'yi'lv'bai'jun'qing 乙铝百菌清
'fang'she'xian'mie'jun 放射线灭菌
'ge'xiang'zhen'ren'min'zheng'fu 各乡镇人民政府
'zhong'zi'jing'xuan 种子精选
'duo'ya'qi 多芽期
'lan'gen 烂根
'lv'niao'sha 氯脲杀
'ran'se'ti'shu 染色体数
'fu'jian'sheng'jian'ou'fu'nong'hua'gong'you'xian'gong'si 福建省建瓯福农化工有限公司
'yang'feng'jia 养蜂家
'quan'mian'chang'kai 全面敞开
'zhu'geng 筑埂
'chu'cun'fu'lan 储存腐烂
'chu'xiong'ri'bao'she 楚雄日报社
'jie'jia'ri 节假日
'bing'qi'tu 冰碛土
'zhe'suan 折算
'fa'ya'qi 发芽期
'yin'tou'hua'xu 隐头花序
'duo'yuan'xie'fang'cha'fen'xi 多元协方差分析
'quan'tou'gua 拳头瓜
'wu'xing'fan'zhi 无性繁殖
'liu'bian'e 柳蝙蛾
'yin'du'yi'ke'sheng'zuo'wu'hu'li'you'xian'gong'si 印度伊克胜作物护理有限公司
'fan'zhi'shi 繁殖室
'du'niu'bai'li 犊牛白痢
'an'hui'sheng'wan'nan'ai'te'wei'sheng'yong'pin'chang 安徽省皖南爱特卫生用品厂
'hui'gui'qu'xian 回归曲线
'ying'yang'yuan'su'zui'shi'bi 营养元素最适比
'nai'an'lin 萘氨磷
'yan'ge'lv'xing 严格履行
'shan'dong'sheng'li'gu'fen'you'xian'gong'si 山东胜利股份有限公司
'shao'yao 芍药
'zui'xiao'tang'han'liang 最小糖含量
'gui'suan 硅酸
'kai'huan'shan'gou 开环山沟
'lin'jing'de 鳞茎的
'pi'zhen'xing'de 披针形的
'zhi'ban'fu'wu'yuan 值班服务员
'zhong'hua'quan'guo'zong'gong'hui 中华全国总工会
'xi'zuo'chun 烯唑醇
'nong'ye'bing'chong'hai'guan'ce'chang 农业病虫害观测场
'er'chong'ji'sheng 二重寄生
'lian'pen 连喷
'gu'ding'de 固定的
'que'bao'zai'hou'sheng'chan'shun'li'kai'zhan 确保灾后生产顺利开展
'wa'gou 挖沟
'da'di'ji 打地基
'shu'zhang'lao'guan'cao 鼠掌老鹳草
'duo'jiao'ti'bing 多角体病
'que'peng'zheng 缺硼症
'han'le'ning'zan'ding 韩乐宁暂定
'tian'cai'ye'e'he'xing'duo'jiao'ti'bing'du 甜菜夜蛾核型多角体病毒
'shan'dong'han'nong'hua'xue'you'xian'gong'si 山东韩农化学有限公司
'kong'zhi'bu'jian 控制部件
'ji'xie'hua'cha'yang 机械化插秧
'da'sha'di 大沙地
'bai'er 拜耳
'mei'yuan 酶原
'dian'dong 滇东
'zheng'jiao'biao 正交表
'long'tou'qi'ye 龙头企业
'shou'gou'gong'zuo 收购工作
'qi'hou'ban'bing 气候斑病
'kuang'hua'xi'shu 矿化系数
'ba'xi'xiang'jiao'shu 巴西橡胶树
'wo'xian 我县
'zhu'ma'jing'fu'bing 苎麻茎腐病
'yang'wei 阳痿
'xiong'kou 胸口
'yi'you'qing'cao'jin 乙莠氰草津
'yu'yan'xue'jia 语言学家
'san'lv'sha'man'feng 三氯杀螨砜
'xiang'mu'de'shi'shi 项目的实施
'tu'zhong 土种
'liu'ru'shi'chang 流入市场
'wen'ti 问题
'huan'jing'zhun'ze 环境准则
'dian'yun'dou 电熨斗
'ye'ti'fei'liao 液体肥料
'qi'shi 气室
'si'liao'tian'jia'ji 饲料添加剂
'zhong'dian'fu'chi 重点扶持
'wei'dan'bai'mei 胃蛋白酶
'jiang'su'sheng'jin'tan'shi'xing'da'hua'gong'chang 江苏省金坛市兴达化工厂
'jian'hua'jia 剪花架
'zhi'xian'hui'gui 直线回归
'dong'ya 冬芽
'fu'zhi'suan'de'xiang'dui'se'du 腐殖酸的相对色度
'fen'zhuang'chuang'jia'bing 粉状疮痂病
'jie'liao'shui'gou 截僚水沟
'fei'wo'de 肥沃的
'ban'zhong'ling 拌种灵
'ni'jiao'cha 拟交叉
'que'yang'bao'cang 缺氧保藏
'san'hui'yi'ke 三会一课
'dan'bai'zhi'jing'liao 蛋白质精料
'shai'dou'gui'chun 筛豆龟蝽
'san'xi'za'jiao 三系杂交
'huan'yuan'ji 还原剂
'leng'shan 冷杉
'an'xian'hua 氨酰化
'shuai'bai 衰败
'dian'jie'zhi 电解质
'yi'jia'du'si'pi 乙甲毒死蜱
'zhi'hui'de'jie'jing 智慧的结晶
'jian'zao'de 建造的
'she'jie 舌接
'jian'zhi 剪枝
'zi'xiang'guan 自相关
'sheng'zhang'mo'xing 生长模型
'you'li'yu'tui'dong'quan'xian'lao'wu'shu'chu 有利于推动全县劳务输出
'gan'sang'ye'fen 干桑叶粉
'gu'xiang 故乡
'li'ceng 离层
'bi'xu'pin 必需品
'qi'mo 期末
'yi'xian'dan'jian 乙酰胆碱
'bo'dao 拨到
'xi'gai'gu 膝盖骨
'huo'ba'jie 火把节
'shan'dong'shen'wang'sheng'wu'yao'ye'you'xian'gong'si 山东申王生物药业有限公司
'jue'dui'chan'nai'liang 绝对产奶量
'zui'gao'wen'du 最高温度
'liang'fang'mian 两方面
'tu'di'wu'ran 土地污染
'nang'di'shu 囊地鼠
'mian'ma'mao'chu'jia'gong'she'bei 棉麻毛初加工设备
'dao'wen'qing 稻瘟清
'ze'ren'gan 责任感
'jiang'su'sheng'chang'shu'shi'hua'gong'chang 江苏省常熟市化工厂
'huang'ye'qi 黄叶期
'fu'sheng'wu 腐生物
'hai'nan'run'he'nong'yao'you'xian'gong'si 海南润禾农药有限公司
'ying'yang'sheng'li'te'xing 营养生理特性
'zong'xiang'pai'shui 纵向排水
'nai'zi 耐渍
'jiang'xi'hui'he'hua'gong'you'xian'gong'si 江西汇和化工有限公司
'xiong'qiang 胸腔
'zhi'chi 直翅
'zhong'xue'bi'ye'sheng 中学毕业生
'fen'xi'zhi'shu 分析指数
'jun'chuang 均创
'tu'rang'xiao'qu 土壤小区
'cha'cai'xiao'du 茶材小蠹
'fen'hong'se 粉红色
'jia'liu'fu'mei'shuang 甲硫福美双
'qian're 潜热
'chun'geng'gong'zuo 春耕工作
'jia'yan'fei 钾盐肥
'sheng'gen 生根
'yi'shi 意识
'shuang'feng 双峰
'za'jiao'zu'he 杂交组合
'ji'xie'tong'feng'gan'zao 机械通风干燥
'e'mei'luo'an'tong 噁霉络氨铜
'ye'shang'zhe'sheng'de 叶上着生的
'miao'yi'zai 苗移栽
'shu'cai'dou'lei 蔬菜豆类
'biao'zhi'bian'yi'du 标志变异度
'nong'yao'huo'xing 农药活性
'pei'qiang'zuo'da 培强做大
'tu'rang'fu'gai 土壤覆盖
'ai'nuo'ming'xing 爱诺明星
'pu'tao'ju'tang 葡萄聚糖
'ding'you 丁酉
'mei'guo'qing'an'gong'si 美国氰胺公司
'huo'dong'wen'du 活动温度
'tong'ying'yang'que'fa'zheng 铜营养缺乏症
'quan'nian'liang'shi'chan'liang'shui'ping 全年粮食产量水平
'chong'fen'ren'shi 充分认识
'wu'zhi'sheng 吴志胜
'deng'ji'hua'fen 等级划分
'hua'pen'rong'qi 花盆容器
'ji'xing'fen'zi 极性分子
'shou'yi'fu'wu'ren'yuan 兽医服务人员
'jiang'su'sheng'wu'xi'shi'nong'yao'chang 江苏省无锡市农药厂
'shou'dong'shi'sa'fei'ji 手动式撒肥机
'xiang'xi 向西
'si'liao'zhong'du 饲料中毒
'bi'li'shi'kang'nai'xin'nong'hua'gong'si 比利时康乃馨农化公司
'chuan'ru 传入
'fang'xian'jun'su 放线菌素
'shan'zhu'zi 山竹子
'bao'ceng'tu 薄层土
'yu'mi'zai'pei 玉米栽培
'deng'ji'qi 登记器
'kong'jian'ge'li 空间隔离
'wu'miao 无苗
'ding'duan 顶端
'lao'dan'bai'yan 酪蛋白盐
'yu'bao'zhun'que'lv 预报准确率
'ding'chong'sha'chong'dan 啶虫杀虫单
'zu'zhi'sheng'huo 组织生活
'tan'fu'bing 炭腐病
'nong'ye'chan'ye'hua'gong'zuo 农业产业化工作
'wen'ye'zi 稳椰子
'guan'li'gong'zuo 管理工作
'zhong'zi'huo'li 种子活力
'yi'chuan'zi'yuan 遗传资源
'lv'mei'yi'suan'su 氯霉乙蒜素
'bu'dong'zi'shi 不动姿势
'yi'an'cao'gan'lin 乙胺草甘膦
'shuai'jian'xi'shu 衰减系数
'ji'yin'zu 基因组
'ji'xie'zuan 机械钻
'dian'qi'gan'zao'ji 电气干燥机
'guo'ying'nong'chang'zhi'gong'ren'shu 国营农场职工人数
'zhong'li'ba 重力坝
'duo'xiang'shi 多项式
'zao'yi'bing 早疫病
'dang'liang'ding'lv 当量定律
'zhou'nong'chan'pin'zhi'liang'jian'ce'zhong'xin 州农产品质量检测中心
'xuan'gua'shi'nong'ji'ju 悬挂式农机具
'si'chuan'da'di'zhen 四川大地震
'sun'hai'le'nong'min'de'sheng'chan'ji'ji'xing 损害了农民的生产积极性
'ai'gan 矮秆
'tang'shu 塘数
'zhuan'xiang'zi'jin 专项资金
'lv'mi'yi'cao'an 氯嘧乙草胺
'zhou'he 轴盒
'fu'she'fang'hu 辐射防护
'jing'kui'fu'huang'an 精喹氟磺胺
'sheng'tai'qun 生态群
'tong'lei'xiang'shi 同类湘食
'jin'lian'hua 金莲花
