'a'bo 阿勃
'bai'hou'gan'jun 白喉杆菌
'bai'hua'de 白花的
'bai'hua'ti 白化体
'bai'hua'xian'xiang 白化现象
'bai'ji'bing 白肌病
'bai'jian 白茧
'bai'jian'tu 白碱土
'bai'jiang'bing 白僵病
'bai'jie 白芥
'bai'jin 百斤
'bai'jun'qing 百菌清
'bai'la'shu 白蜡树
'bai'li'xiang 百里香
'bai'mi 白米
'bai'mi'fan 白米饭
'bai'mo 白膜
'bai'nei'zhang 白内障
'bai'qu'cai'zhong'du 白屈菜中毒
'bai'ruan'hua'wu 白朊化物
'bai'san'ye'cao'ban'dian'bing 白三叶草斑点病
'bai'san'ye'cao'hua'ye'bing 白三叶草花叶病
'bai'se'ti 白色体
'bai'se'tu'bian'ti 白色突变体
'bai'shui 白水
'bai'si'luan 白死卵
'bai'xi'bao'jian'shao 白细胞减少
'bai'xi'bao'que'fa'zheng 白细胞缺乏症
'bai'xiang'cao'mu'xi 白香草木樨
'bai'xin'da'mi 白芯大米
'bai'xue'bing 白血病
'bai'xue'bing 败血病
'bai'xue'bing'bing'du 白血病病毒
'bai'xue'qiu 白血球
'bai'yi'mu 白蚁目
'bai'yu 败育
'bai'yu'hua'fen 败育花粉
'bai'yu'shan'dou 白羽扇豆
'bai'yun'shi 白云石
'bai'yun'shi'fen'chen 白云石粉尘
'bai'zhou 白昼
'ban'bao'liu'fu'zhi 半保留复制
'ban'bian'tai 半变态
'ban'bu'yu'xing 半不育性
'ban'chu'liang 搬出量
'ban'da'lu'fu'zhi'zhi 半大陆腐殖质
'ban'di'jiao'shi'chu'cun'ku 半地窖式储存库
'ban'dian 斑点
'ban'gan'han 半干旱
'ban'gan'han'di'dai 半干旱地带
'ban'gan'han'qi'hou 半干旱气候
'ban'gan'qing'zhu 半干青贮
'ban'gu'ding'pen'wu'qi 板固定喷雾器
'ban'gu'ding'shi'pen'guan'xi'tong 半固定式喷灌系统
'ban'guang'an'suan 半胱氨酸
'ban'he'cheng'pei'yang'ji 半合成培养基
'ban'he'cheng'si'liao 半合成饲料
'ban'hen 瘢痕
'ban'hen'zu'zhi 瘢痕组织
'ban'hua 瓣花
'ban'ji'sheng'wu 半寄生物
'ban'jin'shu 半金属
'ban'kang'yuan 半抗原
'ban'li 半粒
'ban'lian'gui'shi'tuo'la'ji 半链轨式拖拉机
'ban'ma 斑马
'ban'pei 半胚
'ban'ran'se'dan'ti 半染色单体
'ban'ru'tang 半乳糖
'ban'ru'tang'chun 半乳糖醇
'ban'ru'tang'gan'mei 半乳糖苷酶
'ban'shi'run'dai 半湿润带
'ban'shi'run'qi'hou 半湿润气候
'ban'shu 半数
'ban'shuai'qi 半衰期
'ban'tou'mo 半透膜
'ban'wen 斑纹
'ban'wen'chuang'miao'chuang 半温床苗床
'ban'xi'mao 半细毛
'ban'xian'wei'su 半纤维素
'ban'xian'wei'su'fen'jie'xi'jun 半纤维素分解细菌
'ban'xiao'hua'de 半小花的
'ban'xuan'gua'shi'li 半悬挂式犁
'ban'xuan'gua'shi'tiao'bo'ji 半悬挂式条播机
'ban'xue'zhong 半血种
'ban'yu'zhuang'de 半羽状的
'ban'yue'ban 半月斑
'ban'zhi'si'nong'du 半致死浓度
'ban'zhi'si'shi'jian 半致死时间
'ban'zhong 半种
'ban'zhong 拌种
'ban'zhou 半轴
'ban'zhuang'jie'gou 板状结构
'ban'zi'dong'shi'ma'ling'shu'zhong'zhi'ji 半自动式马铃薯种植机
'bang'zhuang'de 棒状的
'bang'zhuang'gan'jun 棒状杆菌
'bang'zhuang'gan'jun'bing 棒状杆菌病
'bao'bei 包被
'bao'bi'zu'zhi 薄壁组织
'bao'bi'zu'zhi'de 薄壁组织的
'bao'ceng'an'se'tu 薄层暗色土
'bao'ceng'gan'han'tu 薄层干旱土
'bao'ceng'hui'rang 薄层灰壤
'bao'ceng'ji'yan'pan'tu 薄层基岩磐土
'bao'ceng'li'gai'tu 薄层栗钙土
'bao'ceng'mo'jing'tu 薄层漠境土
'bao'ceng'se'pu 薄层色谱
'bao'ceng'tie'pan'hui'rang 薄层铁磐灰壤
'bao'ceng'tu 薄层土
'bao'chi'shui 保持水
'bao'chi'xi 保持系
'bao'cun'yu'zhong 保存育种
'bao'dai 胞甙
'bao'de 苞的
'bao'du'e 豹蠹蛾
'bao'e 豹蛾
'bao'er'bu'sha'mu'fa 保尔补杀母法
'bao'gan'suan 胞苷酸
'bao'geng 孢梗
'bao'hai 雹害
'bao'han'ti 包涵体
'bao'han'ti'gan'yan 包涵体肝炎
'bao'he 饱和
'bao'he'cha 饱和差
'bao'he'chi'shui'liang 饱和持水量
'bao'he'chong'ji'tu 饱和冲积土
'bao'he'cu'gu'tu 饱和粗骨土
'bao'he'dian 饱和点
'bao'he'du 饱和度
'bao'he'hui'hua'tu 饱和灰化土
'bao'he'qian'yu'tu 饱和潜育土
'bao'he'qiang'feng'hua'zhan'pan'tu 饱和强风化粘磐土
'bao'he'rong'ye 饱和溶液
'bao'he'shi'cheng'tu 饱和始成土
'bao'he'shi'zhi'tu 饱和石质土
'bao'he'ting 饱和烃
'bao'he'you'ji'tu 饱和有机土
'bao'he'zhan'pan'tu 饱和粘磐土
'bao'he'zhi'fang'suan 饱和脂肪酸
'bao'hu'di'shu'cai 保护地蔬菜
'bao'hu'di'yuan'yi 保护地园艺
'bao'hu'fan'ying 保护反应
'bao'hu'ji'zhi 保护机制
'bao'hu'se 保护色
'bao'hu'sha'zhen'jun'ji 保护杀真菌剂
'bao'hu'shang'pi 保护上皮
'bao'hu'shui'ping 保护水平
'bao'hu'xing 保护行
'bao'hu'zai'pei 保护栽培
'bao'hu'zhe'ban 保护遮板
'bao'hu'zhi'wu 保护植物
'bao'hu'zu'zhi 保护组织
'bao'hu'zui 保护罪
'bao'jian'lian'si 胞间连丝
'bao'jing'de 抱茎的
'bao'jing'ye 抱茎叶
'bao'lie'zhong'yu'mi 爆裂种玉米
'bao'lin 苞鳞
'bao'luan'ji 抱卵鸡
'bao'mu'ci'chu 保姆雌畜
'bao'na'bing 包那病
'bao'nang 孢囊
'bao'nang 胞囊
'bao'nang'qun 孢囊群
'bao'nei'mei 胞内酶
'bao'pi 剥皮
'bao'po'luan 爆破卵
'bao'shang 保墒
'bao'shui'li 保水力
'bao'shui'xing 保水性
'bao'si 饱饲
'bao'wai'de 胞外的
'bao'wai'mei 胞外酶
'bao'wei'xi'bao 保卫细胞
'bao'wen'guan'gai 保温灌溉
'bao'xuan'xing'de 包旋形的
'bao'yin'pao 胞饮泡
'bao'you'ji'su 保幼激素
'bao'yu'mi'bao'ye'qi 剥玉米苞叶器
'bao'yuan 孢原
'bao'zhi'fen'lie 胞质分裂
'bao'zhi'qi 胞质器
'bao'zhi'ti 胞质体
'bao'zhuang'rong'qi 包装容器
'bao'zhuang'xian 胞状腺
'bao'zi 孢子
'bao'zi'chong 孢子虫
'bao'zi'gan'lan 抱子甘蓝
'bao'zi'guo 孢子果
'bao'zi'nang 孢子囊
'bao'zi'nang'geng 孢子囊梗
'bao'zi'ti 孢子体
'bao'zi'xing'cheng 孢子形成
'bao'zi'ye 孢子叶
'bao'zi'zhi'wu 孢子植物
'bei'biao 背膘
'bei'dong'mian'yi 被动免疫
'bei'dong'xi'shou 被动吸收
'bei'feng 背缝
'bei'fu 被覆
'bei'fu'fu'he'fei'liao 被覆复合肥料
'bei'fu'ke'li'zhuang'fei'liao 被覆颗粒状肥料
'bei'fu'shi'mi'wu'qi 背负式弥雾器
'bei'fu'shi'pen'wu'qi 背负式喷雾器
'bei'fu'wu 被覆物
'bei'geng 备耕
'bei'hai'bu'wei 被害部位
'bei'hai'liang 被害量
'bei'hai'lv 被害率
'bei'hai'shi'qi 被害时期
'bei'ji'dong'tu'ya'dai 北极冻土亚带
'bei'ji'dong'yuan 北极冻原
'bei'ji'qi'hou 北极气候
'bei'ke'fen 贝壳粉
'bei'lin'bi'de 被鳞秕的
'bei'liu'lin 倍硫磷
'bei'mo 被膜
'bei'rong'mao'de 被绒毛的
'bei'shi'hui 贝石灰
'bei'wei'rou'mao'de 被微柔毛的
'bei'xian 背腺
'bei'xie'zhe'zhou 背斜褶皱
'bei'ze'jia'she 备择假设
'bei'zeng'shi'jian 倍增时间
'bei'zhuang'zheng'zhi 杯状整枝
'bei'zi'de 被子的
'bei'zi'zhi'wu 被子植物
'ben'an 苯胺
'ben'an'lan 苯胺蓝
'ben'an'ling 苯胺灵
'ben'an'yan 苯胺盐
'ben'an'you 苯胺油
'ben'bing'an'suan 苯丙氨酸
'ben'fen'lei'chu'cao'ji 苯酚类除草剂
'ben'jia'suan 苯甲酸
'ben'jia'suan'lei'chu'cao'ji 苯甲酸类除草剂
'ben'jia'xian'piao'ling 苯甲腺嘌呤
'ben'jun'ling 苯菌灵
'ben'liu 奔流
'ben'qu 本区
'ben'shi'yan 本试验
'ben'wen'jian 本文件
'ben'xiao 本校
'ben'yan'jiu 本研究
'ben'yang'ji'lei'chu'cao'ji 苯氧基类除草剂
'ben'zhi'xi 苯之烯
'beng'dai 绷带
'beng'ta 崩塌
'bi'biao'mian'ji 比表面积
'bi'dui'zhao 比对照
'bi'duo'chun 吡哆醇
'bi'gai'de 避钙的
'bi'guo 闭果
'bi'he 闭合
'bi'hua'shou'jing 闭花受精
'bi'hua'shou'jing'de 闭花受精的
'bi'huan 鼻环
'bi'jiao'tu'zai'fa 比较屠宰法
'bi'ju 鼻疽
'bi'kong 鼻孔
'bi'li 秕粒
'bi'lu'jiao'shu 秘鲁胶树
'bi'ma 蓖麻
'bi'ma'can 蓖麻蚕
'bi'ma'can'pin'zhong 蓖麻蚕品种
'bi'ma'can'si'yu 蓖麻蚕饲育
'bi'ma'hai'chong 蓖麻害虫
'bi'ma'jun'he'bing 蓖麻菌核病
'bi'ma'ye 蓖麻叶
'bi'ma'yi'bing 蓖麻疫病
'bi'ma'zai'pei 蓖麻栽培
'bi'ma'zi 蓖麻籽
'bi'ma'zi'bing'zhong'du 蓖麻子饼中毒
'bi'qi'guan'yan 鼻气管炎
'bi'qian 鼻钳
'bi'ran'shi'jian 必然事件
'bi'ran'xing 必然性
'bi're 比热
'bi'se'bei 比色杯
'bi'se'di'ding'fen'xi 比色滴定分析
'bi'se'ding'liang 比色定量
'bi'se'fen'xi 比色分析
'bi'shi 壁虱
'bi'shu 逼熟
'bi'suo'qun'ti 闭锁群体
'bi'xu'an'ji'suan 必需氨基酸
'bi'xu'an'ji'suan'zhi'shu 必需氨基酸指数
'bi'xu'pin 必需品
'bi'xu'yuan'su 必需元素
'bi'xu'zhi'fang'suan 必需脂肪酸
'bi'yan 鼻炎
'bi'yang'de 避阳的
'bi'yu'zhi'wu 避雨植物
'bi'zhong 比重
'bi'zhuo'fa 比浊法
'bi'zi 鼻子
'bian'cai 边材
'bian'cao'dai'ji 编草袋机
'bian'chong 鞭虫
'bian'dou 扁豆
'bian'dou'bai'juan'bing 扁豆白绢病
'bian'dou'gen'fu'bing 扁豆根腐病
'bian'dou'he'ban'bing 扁豆褐斑病
'bian'dou'hei'mei'bing 扁豆黑霉病
'bian'dou'hua'ye'bing 扁豆花叶病
'bian'dou'qing'ku'bing 扁豆青枯病
'bian'dou'tan'ju'bing 扁豆炭疽病
'bian'dou'ye'shao'bing 扁豆叶烧病
'bian'geng'xing 变更性
'bian'huan'biao 变换表
'bian'huan'zhuang'zhi 变换装置
'bian'ji 边际
'bian'ji'bu 编辑部
'bian'ji'di 边际地
'bian'ji'xiao'ying 边际效应
'bian'jiao'lu 扁角鹿
'bian'liang'bian'huan 变量变换
'bian'liang'biao 变量表
'bian'lv 变率
'bian'lv'ju'zhi 苄氯菊脂
'bian'mao'chong'lei 鞭毛虫类
'bian'mao'zhi'wu 鞭毛植物
'bian'shu 变数
'bian'tai 变态
'bian'tai'xi'xing 变态习性
'bian'tao 扁桃
'bian'tao'dai 扁桃甙
'bian'tao'ti 扁桃体
'bian'wei 编委
'bian'wen'chu'li 变温处理
'bian'wen'de 变温的
'bian'xiao 变小
'bian'xing 变性
'bian'xing'chong 变形虫
'bian'xing'chong'de 变形虫的
'bian'xing'chong'yang'de 变形虫样的
'bian'xing'dan 变形蛋
'bian'xing'dian'fen 变性淀粉
'bian'xing'jiu'jing 变性酒精
'bian'xing'lin'rong'tu 变性淋溶土
'bian'xing'liu'an 变性硫铵
'bian'xing'shi'cheng'tu 变性始成土
'bian'xing'ti 变形体
'bian'xing'tu 变性土
'bian'xing'xi'bao 变形细胞
'bian'xing'xing'guan'jie'yan 变形性关节炎
'bian'xing'yun'dong 变形运动
'bian'ye 边叶
'bian'yi 变异
'bian'yi'qu'xian 变异曲线
'bian'yi'ti 变异体
'bian'yi'xi'shu 变异系数
'bian'yi'xing 变异性
'bian'yi'xu'lie 变异序列
'bian'ying'su 变应素
'bian'yuan 边缘
'bian'zhi'yan 变质岩
'bian'zhi'zhuo 变质酌
'bian'zhong 变种
'biao'ben 标本
'biao'ceng'shi'fei 表层施肥
'biao'ceng'zhui'fei'ji 表层追肥机
'biao'guan 表观
'biao'ji'fa 标记法
'biao'ji'ji'yin 标记基因
'biao'ji'yin'zi 标记因子
'biao'ji'yuan'zi 标记原子
'biao'mian'geng'zuo 表面耕作
'biao'mian'huo'hua'ji 表面活化剂
'biao'mian'kui'yang 表面溃疡
'biao'mian'pen'sa 表面喷洒
'biao'mian'zhang'li 表面张力
'biao'pi 表皮
'biao'pi'xing'cheng 表皮形成
'biao'pi'yuan 表皮原
'biao'qian 标签
'biao'tu 表土
'biao'tu'geng'zuo 表土耕作
'biao'xian'du 表现度
'biao'xiang 表象
'biao'xing 表型
'biao'xing'biao'xian 表型表现
'biao'xing'chi'yan'xian'xiang 表型迟延现象
'biao'xing'fang'cha 表型方差
'biao'xing'hun'he 表型混和
'biao'xing'ke'su'xing 表型可塑性
'biao'xing'qun 表型群
'biao'xing'xiang'guan 表型相关
'biao'xing'zhi 表型值
'biao'zheng 表征
'biao'zhong 表中
'biao'zhun'cha 标准差
'biao'zhun'fei'liao 标准肥料
'biao'zhun'fei'liao'huan'suan 标准肥料换算
'biao'zhun'hua 标准化
'biao'zhun'nong'chang 标准农场
'biao'zhun'pian'hui'gui'xi'shu 标准偏回归系数
'biao'zhun'pin'zhong 标准品种
'biao'zhun'ru 标准乳
'biao'zhun'shi'fei'liang 标准施肥量
'biao'zhun'wu 标准误
'biao'zhun'wu'cha 标准误差
'biao'zhun'wu'shui 标准污水
'biao'zhun'yang'hua'huan'yuan'dian'shi 标准氧化还原电势
'biao'zhun'you'shi 标准优势
'biao'zhun'zheng'tai'fen'bu 标准正态分布
'biao'zhun'zhong'zi 标准种子
'bie'gu'lv 瘪谷率
'bin'hai'tu'rang 滨海土壤
'bin'hai'xie'hu 滨海泻湖
'bin'si 濒死
'bin'xian 彬县
'bing'an'suan 丙氨酸
'bing'an'suan'zhuan'an'mei 丙氨酸转氨酶
'bing'chong'hai 病虫害
'bing'chong'hai'fang'zhi 病虫害防治
'bing'chuan'zhi'wu'qun 冰川植物群
'bing'chun 丙醇
'bing'dian 冰点
'bing'du 病毒
'bing'du'bing 病毒病
'bing'du'jian'yan 病毒检验
'bing'du'kang'xing'wu'xing'xi 病毒抗性无性系
'bing'du'kang'xing'yu'zhong 病毒抗性育种
'bing'du'xing 病毒性
'bing'du'xue 病毒学
'bing'er'quan 丙二醛
'bing'fa'sheng 病发生
'bing'hai 病害
'bing'hai'chong 病害虫
'bing'hai'fang'zhi 病害防治
'bing'hai'yu'bao 病害预报
'bing'hai'yu'cha 病害预察
'bing'hai'yu'fang 病害预防
'bing'he'xi'jun 冰核细菌
'bing'li 病理
'bing'li'gu'zhe 病理骨折
'bing'li'xing 病理型
'bing'nei'zhi 丙内酯
'bing'qi'tu 冰碛土
'bing'quan'tang 丙醛糖
'bing'she'xian 丙射线
'bing'shui 冰水
'bing'shui'yu 冰水浴
'bing'suan 丙酸
'bing'suan'fa'jiao 丙酸发酵
'bing'suan'yan 丙酸盐
'bing'tong 丙酮
'bing'tong'suan 丙酮酸
'bing'tong'suan'ji'mei 丙酮酸激酶
'bing'tong'suan'tuo'qing'mei 丙酮酸脱氢酶
'bing'tong'suan'zhi'suo'ji'mei 丙酮酸脂羧基酶
'bing'tong'xue'zheng 丙酮血症
'bing'xi'chu'chong'ju 丙烯除虫菊
'bing'xi'quan 丙烯醛
'bing'xi'suan 丙烯酸
'bing'xiang 冰箱
'bing'xue'zhi'wu 冰雪植物
'bing'yuan'jun'lei 病原菌类
'bing'yuan'ti 病原体
'bing'yuan'xing 病原性
'bing'yuan'xing'bing'du 病原性病毒
'bing'yuan'xue 病原学
'bing'zao'chuan'ran 病灶传染
'bing'zhao'qian'yu'tu 冰沼潜育土
'bing'zheng 病症
'bing'zhou'qi 病周期
'bing'zhuang 病状
'bing'zhuang'si'liao 饼状饲料
'bo'cai 菠菜
'bo'cai'he'ban'bing 菠菜褐斑病
'bo'cai'ye'ban'bing 菠菜叶斑病
'bo'chuang 播床
'bo'chuang'ba'ping 播床耙平
'bo'di 薄地
'bo'dong 搏动
'bo'er'duo'ye 波尔多液
'bo'feng'xuan'ji 簸风选机
'bo'he 薄荷
'bo'li 剥粒
'bo'li'wen'chuang 玻璃温床
'bo'li'wen'shi 玻璃温室
'bo'li'zhi'an'se'tu 玻璃质暗色土
'bo'liang 播量
'bo'mei'bi'zhong'ji 波美比重计
'bo'miao 钵苗
'bo'pi 薄皮
'bo'pi'jian 薄皮茧
'bo'qi 播期
'bo'qian 播前
'bo'shi'sheng 博士生
'bo'shi'zhuo 剥蚀酌
'bo'si 薄饲
'bo'song'fen'bu 泊松分布
'bo'ye'de 波叶的
'bo'zai 钵栽
'bo'zai'zhi 钵栽植
'bo'zhong 播种
'bo'zhong'ba 播种耙
'bo'zhong'fang'shi 播种方式
'bo'zhong'ji 播种机
'bo'zhong'liang 播种量
'bo'zhong'lie 播种列
'bo'zhong'mian'ji 播种面积
'bo'zhong'qi 播种期
'bo'zhong'qian'shi'fei 播种前施肥
'bo'zhong'ri'qi 播种日期
'bo'zhong'shen'du 播种深度
'bo'zhong'zhuang'zhi 播种装置
'bu'an'ding'de 不安定的
'bu'bao'he'chong'ji'tu 不饱和冲积土
'bu'bao'he'cu'gu'tu 不饱和粗骨土
'bu'bao'he'hui'hua'tu 不饱和灰化土
'bu'bao'he'mao'guan'shen'tou 不饱和毛管渗透
'bu'bao'he'qian'yu'tu 不饱和潜育土
'bu'bao'he'qiang'feng'hua'zhan'pan'tu 不饱和强风化粘磐土
'bu'bao'he'shi'cheng'tu 不饱和始成土
'bu'bao'he'shi'zhi'tu 不饱和石质土
'bu'bao'he'ting 不饱和烃
'bu'bao'he'ye 不饱和液
'bu'bao'he'you'ji'tu 不饱和有机土
'bu'bao'he'zhan'pan'tu 不饱和粘磐土
'bu'bao'he'zhi'fang'suan 不饱和脂肪酸
'bu'bian'fu'zhi'zhi 不变腐殖质
'bu'bian'tai 不变态
'bu'chang 步长
'bu'chang'di 补偿第
'bu'chang'dian 补偿点
'bu'chang'li'zi'ceng 补偿离子层
'bu'chang'li'zi'ting'zhi'ceng 补偿离子停止层
'bu'chang'neng'li 补偿能力
'bu'chao'guo 不超过
'bu'chong 补充
'bu'chong'cao'di 补充草地
'bu'chong'fa'jiao 补充发酵
'bu'chong'guan'gai 补充灌溉
'bu'chun'jing'wu 不纯净物
'bu'da'yu 不大于
'bu'dai 步带
'bu'dai'de 步带的
'bu'dai'xi 步带系
'bu'deng'ye'de 不等叶的
'bu'deng'yi'de 不等翼的
'bu'di'yu 不低于
'bu'ding 不定
'bu'ding'de 不定的
'bu'ding'gen 不定根
'bu'ding'ya 不定芽
'bu'dong'bao'zi 不动孢子
'bu'dong'pei'zi 不动配子
'bu'dong'zi'shi 不动姿势
'bu'fen'pai'chu 部分排除
'bu'gao'yu 不高于
'bu'huo'dong'ji'yin 不活动基因
'bu'huo'xing'neng'li 不活性能力
'bu'ji 不计
'bu'jia'wen'wen'shi 不加温温室
'bu'jie'he 不接合
'bu'ju'qu'yu'hua 布局区域化
'bu'ke'bu 不可不
'bu'ke'fou'ren 不可否认
'bu'ke'neng'shi'jian 不可能事件
'bu'ke'ni'jiao'ti 不可逆胶体
'bu'li'yu 不利于
'bu'liao 补料
'bu'lie'de 不裂的
'bu'mian'can 不眠蚕
'bu'miao 补苗
'bu'neng 不能
'bu'neng'bu 不能不
'bu'qin'he'xing 不亲和性
'bu'quan'bian'tai 不全变态
'bu'quan'jiao'hua 不全角化
'bu'rong'xing 不溶性
'bu'ru 哺乳
'bu'ru'dong'wu 哺乳动物
'bu'ru'dong'wu'xue 哺乳动物学
'bu'ru'mu'zhu 哺乳母猪
'bu'ru'yang 哺乳羊
'bu'shi 捕食
'bu'shi'gan'jun'yi'miao 布氏杆菌疫苗
'bu'shi'zhe 捕食者
'bu'si 补饲
'bu'ti 补体
'bu'ti'jie'he'shi'yan 补体结合试验
'bu'tou'shui'xing'tu'rang 不透水性土壤
'bu'tuo'pi'can 不脱皮蚕
'bu'wan'quan'fa'qing 不完全发情
'bu'wan'quan'hua 不完全花
'bu'wan'quan'jun 不完全菌
'bu'wan'quan'shi'jun'ti 不完全噬菌体
'bu'wan'quan'xian'xing 不完全显性
'bu'wan'quan'ye 不完全叶
'bu'wen'ding'xing 不稳定性
'bu'xian'zhu 不显著
'bu'xiang'shang'xia 不相上下
'bu'xiao'hua'wu'zhi 不消化物质
'bu'xiao'hua'you'ji'wu'zhi'zong'liang 不消化有机物质总量
'bu'xiao'yu 不小于
'bu'xing'de 步行的
'bu'xing'zu 步行足
'bu'yan'er'yu 不言而喻
'bu'yi'ding 不一定
'bu'yu 不育
'bu'yu'xi 不育系
'bu'yu'xing 不育性
'bu'yue'nian'luan 不越年卵
'bu'yun'zheng 不孕症
'bu'zhi 补植
'bu'zhi'dao 不知道
'bu'zhi'kong'zhu 补植空株
'bu'zhi'yu 不至于
'bu'zhu'pou'mian 补助剖面
'bu'zu 步足
'cai'dou 菜豆
'cai'huan'jie 蔡焕杰
'cai'ji'sang'shen 采集桑葚
'cai'jian 采茧
'cai'jing 采精
'cai'jing'tai 采精台
'cai'sang 采桑
'cai'tu'qi 采土器
'cai'ya 菜蚜
'cai'yang 采样
'cai'yang'xiao'qu 采样小区
'cai'ye 采叶
'cai'yuan 菜园
'cai'zhai 采摘
'cai'zhai'ji'jie 采摘季节
'cai'zhong 采种
'cai'zi'bing 菜籽饼
'can'ban'wen 蚕斑纹
'can'bing 蚕病
'can'bing'du'xing'xie'bing 蚕病毒性泻病
'can'bing'hai'chong 蚕病害虫
'can'bing'li 蚕病理
'can'bo 蚕箔
'can'cha 残差
'can'cha'dui'fei 残茬堆肥
'can'cu 蚕簇
'can'cun'luan 残存卵
'can'dan 蚕蛋
'can'de'pai'xie'wu 蚕的排泄物
'can'de'sheng'zhang 蚕的生长
'can'de'shi'yu 蚕的食欲
'can'dou 蚕豆
'can'dou'ya 蚕豆蚜
'can'du'qi'zhong'du'zheng 蚕毒气中毒症
'can'e 蚕蛾
'can'gao'lv'qie'ling 蚕高滤怯齢
'can'he'jiang'bing 蚕褐僵病
'can'he'yi'zhi 蚕核移植
'can'hu'xi 蚕呼吸
'can'ji'ceng 残积层
'can'ji'sheng'chong'bing 蚕寄生虫病
'can'ji'wu 残积物
'can'jia 蚕架
'can'jian'shou'cheng 蚕茧收成
'can'jian'yan 蚕检验
'can'jian'zhen'kong'gan'zao 蚕茧真空干燥
'can'ju 蚕具
'can'ju'xiao'du 蚕具消毒
'can'kao'shu 参考书
'can'ling 蚕龄
'can'liu'du'xing 残留毒性
'can'liu'liang 残留量
'can'liu'xing'nong'yao 残留性农药
'can'luan'chao'dong'jie 蚕卵巢冻结
'can'luan'jian'yan 蚕卵检验
'can'luan'xi'luo 蚕卵洗落
'can'nong'yao'zhong'du'zheng 蚕农药中毒症
'can'ping 参评
'can'qi 蚕期
'can'qi'xiao'du 蚕期消毒
'can'ren'gong'si'liao 蚕人工饲料
